iter	Logloss
0	0.6897607772
1	0.6869776911
2	0.6837066106
3	0.6804963324
4	0.6773454561
5	0.6746651229
6	0.6716198343
7	0.6686301924
8	0.6656949534
9	0.663008687
10	0.6601716373
11	0.6573856195
12	0.6546495243
13	0.6524154961
14	0.6497675693
15	0.6471665936
16	0.6446115741
17	0.6422611858
18	0.6397890682
19	0.6373602066
20	0.6349737064
21	0.632628697
22	0.6307013663
23	0.6284261116
24	0.6261900846
25	0.6243379814
26	0.6221719528
27	0.6200429632
28	0.6180724433
29	0.6162901885
30	0.6142565594
31	0.6124482381
32	0.6104775834
33	0.6086549121
34	0.6068628691
35	0.60498017
36	0.6031289947
37	0.6013087438
38	0.5995188318
39	0.5977586868
40	0.59602775
41	0.5947006622
42	0.593018934
43	0.5914507688
44	0.5898198075
45	0.5883001287
46	0.5868054014
47	0.585245236
48	0.5834127373
49	0.5816034212
